Sentence,Sentiment,words per sentence,label,cleaned_sentences
All are welcome .,neutral,4,0,welcome .
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,41,1,stockmann swedish sector company ab lindex enter agreement september 30 2007 stockmann wholly own subsidiary public tender offer lindex issue shares .
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,35,0,huhtamaki oyj stock exchange release 16.9.2008 13.32 huhtamaki capital markets day institutional investor analyst hold espoo september 16 2008 start 13.30 pm finnish time .
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,12,1,` ` pleased welcome tapeks noma cramo group .
- Profit before taxes was EUR 105.9 82.7 million .,neutral,10,0,profit taxis eur 105.9 82.7 million .
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,11,1,royal dutch shell buy bg group nearly dollar_70 billion
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,21,0,financialwire tm not press release service receive no compensation news opinion distribution .
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,31,0,assa abloy kaupthing bank give ` neutral recommendation share price target 174 crown $ 24.7 19 euro swedish lock maker assa abloy ab .
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,34,1,item include restructure cost eur1 .6 m year early eur13 .1 m. diluted eps stand eur0 .3 versus loss share eur 0.1 .
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,13,0,2005 bank post net profit lt 8.2 mn .
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,16,-1,$ aapl afternoon selloff usual brutal . ready lose ton money .
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,21,-1,$ tsla recall pretty single model x @cnnbrk get short work jump money trade
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,30,-1,dolce gabbana ask european union declare marimekko corporation ` ` unikko floral pattern trademark invalid continue dispute company .
InterContinental Hotels first-quarter global room revenue lags estimates,negative,8,-1,intercontinental hotels quarter global room revenue lag estimate
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive,32,1,accord finnish pension insurance company varma varma recipient third revenue earning relate pension cover competitive tendering finland .
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,27,1,portion $ 12.5 million record winning prior patent dispute finnish phone maker nokia oyj .
"L&G still paying price for dividend cut during crisis, chief says",negative,11,-1,l&g pay price dividend cut crisis chief say
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,22,0,volume investment phase project estimate usd 300mn eur 215.03 mn .
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral,32,0,russia account 9 % lagardere magazine division revenue eur 114.40 mn usd 148.11 mn 2009 usa 18 % .
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,29,1,company estimate carry investment lead increase net sale 2010 2009 reach eur 141.7 million .
Profit of the accounting period was EUR 0.3 mn .,neutral,10,0,profit accounting period eur 0.3 mn .
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,27,1,brewery record 5.2 percent growth domestic beer sale year 270.21 million liter 256.88 million liter sell 2005 .
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,27,1,august october 2010 company result taxis total eur 9.6 mn eur 0.5 mn corresponding period 2009 .
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,16,1,systeemitiimi sale project resource strengthen director paul skogberg say .
Tesco share price jumps as Q3 sales top estimates,positive,9,1,tesco share price jump q3 sale estimate
The fine print is here .,neutral,6,0,fine print .
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,19,1,price log clearly improve 2009 price pulpwood go .
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,36,0,sysopen digia accordance chapter 14 section 21 finnish companies act 29.9.1978 734 obtain title shares sentera redeem .
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral,15,0,diluted earning share eps fall eur 0.63 eur 1.71 .
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,21,0,"3:37 p.m. eastern time block 2,400 contract change hand bid price $ 0.45 ."
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,31,0,recent technology delivery include refinery technology anrak aluminium iron ore pelletize plant tata steel iron ore sinter plant bhushan steel .
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,19,1,$ vip similar pattern like beginning . u sell high drop .
The firm generated sales of 187 mln eur in 2005 .,neutral,11,0,firm generate sale 187 mln eur 2005 .
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral,27,0,stora enso meeting labor authority employment economic development centres representative government order find solution .
AstraZeneca profit down as sales of stalwarts fade,negative,8,-1,astrazeneca profit sale stalwart fade
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,14,1,rt @andrewnyquist chartology yahoo $ yhoo crazy look chart near breakout resistance line
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,20,1,bullish stocks twitter dip . $ yhoo $ gdx $ googl $ stz $ gold $ ew $ vz $ celg $ sbux $ scty
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,13,-1,"finnish geosentric net sale decrease eur 939,000 january march 2009 ."
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,21,0,cohen steers inc. 5 534 626 shares represent 4.985 % share capital voting right .
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,25,1,staff recruit japan complement network close 50 service location 20 country worldwide .
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",neutral,35,0,paper company negative territory stora enso r shed 1.62 pct 12.73 eur upm kymmene 0.80 pct 18.64 eur m real b 0.18 pct lower 5.57 eur .
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,28,0,kauko telko centralized administration dissolve appropriate part transfer operating activity group administration end year .
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral,19,0,operate profit quarter april june 2006 amount eur182 .2 m sale eur3 .62 bn .
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral,21,0,atria choose delight attract consumer 25 45 age group atria fresh range microwaveable meal .
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral,42,0,"finnish solution provider affecto oyj hel afe1v say today slip net loss eur 115,000 usd 152,000 second quarter 2010 profit eur 845,000 corresponding period year early ."
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,8,-1,sanction gazprom shell alliance plan jeopardy
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,17,0,profit period eur 10.9 mn eur 14.3 mn 2009 .
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,15,1,profit period eur 5.9 mn eur 1.3 mn .
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,18,0,operate profit fall eur 20.3 mn eur 74.2 mn second quarter 2008 .
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,15,1,sale return growth april june 2010 ceo pekka eloholma say .
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,13,0,operate profit total eur 18.6 mn 8.3 % net sale .
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,27,-1,change market situation tough price competition substantially reduce demand bread packaging manufacture kauhava plant accord company .
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,23,0,connection deal digia employ 19 person nokia oslo silicon valley usa .
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,35,1,"brazilian unit finnish security solution provider f secure sign 1,500 new client year online news source reseller web quote division commercial director vladimir brand+úo say ."
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,neutral,28,0,fair value company investment property go eur 2.768 billion end 2009 eur 2.916 billion year early .
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,54,-1,dealer say share largely hit investor disappointment refining margin 9.48 usd barrel quarter performance shipping unit see ebit drop 5 mln eur 20 mln eur year amid fall volume tanker rate .
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,24,0,` testament quality lte solution commitment japanese market add .
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,20,0,company aim finalize negotiation sign contract start october 2008 .
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral,19,0,metso foundries jyvaskyla oy discontinue production line 30 september 2008 company say .
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,33,0,total poll analyst rate m real give ` ` buy ` ` accumulate give ` ` hold give ` ` sell .
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,29,1,september 2010 finnish group agree buy danish company rose poultry s eur23 .9 m combination cash stock .
$YANG Double bottom 5.2,positive,4,1,$ yang double 5.2
Tesco share price down as grocer faces SFO investigation outcome,negative,10,-1,tesco share price grocer face sfo investigation outcome
$aapl news is becoming very bullish again http://stks.co/tMU,positive,8,1,$ aapl news bullish
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",neutral,30,0,gs engineering install valve liquefy natural gas lng plant build uae lng extraction gas plant operator gasco ruwais uae .
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,34,0,percentage shares voting right calculate proportion total number shares register trade register total number voting right relate .
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,25,0,m real say ` no ground rumor ` circulate market month .
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,30,0,lember say matter topical estonia bill draft social affairs ministry scrap old age pension favorable condition .
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral,37,0,moody say give p a1 long term senior unsecured p p-1 short term debt rating finnish lender aktia bank eur1bn usd1 .4 bn euro medium term note emtn program 25 march 2011 .
$TSLA recall,negative,2,-1,$ tsla recall
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",neutral,29,0,liquidity providing interrupt 11 2007 aspocomp group oyj shares trade 0.50 cent aspocomp stock exchange release 11.5.2007 .
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,11,1,hargreaves lansdown buck weak markets asset rise 2.6 percent
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,16,-1,"12.59 pm omx helsinki 25 index 0.32 pct low 2,694.81 ."
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",neutral,25,0,decision mean temporary lay off fix duration company nastola jyvaskyla unit southern central finland respectively .
The value of the orders is over EUR 10mn .,neutral,10,0,value order eur 10mn .
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,23,0,ms laakso responsible hkscan hr function development group ` smarket area .
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,24,0,fiskars engage global supply marine energy equipment solution service associated company wartsila corporation .
Aberdeen Asset Management Gains Foothold In China,positive,7,1,aberdeen asset management gains foothold china
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral,21,0,finland dominate rail company vr plan set infected passenger long distance trip separate carriage .
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral,20,0,november finnish government decrease ownership company 31.1 percent 38 percent .
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",neutral,52,0,finnish exel composites technology company design manufacture markets composite profile tube industrial application report net sale decrease 0.6 % second quarter 2010 eur 19.2 mn eur 19.3 mn corresponding period 2009 .
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",neutral,31,0,bavelloni nst joint venture bavelloni tools complete semiproduct produce italy high quality tool sell diapol brand .
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral,28,0,tool patent pende design allow consumer lay entire project removable plate multiple clear stamp kind .
$GOOGL is a short below 740 into the upper BB and is overbought,negative,13,-1,$ googl short 740 upper bb overbought
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,23,0,lights curfew curl late bestseller treat eye perfect reading light luceplan .
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,33,-1,upm kymmene corp. world large maker magazine paper tuesday report 19 percent profit drop low paper prices high cost strong euro hurt revenue .
The total value of the contract is some EUR 8 million .,neutral,12,0,total value contract eur 8 million .
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",neutral,34,0,prerequisite inclusion program receipt gain key employee acquire aspo shares determine board advance maximum .
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,neutral,26,0,mr. doring eaton 1989 act business unit manager eaton power controls business unit january 2007 .
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",positive,28,1,"250 sq m 2,691 sq ft store copenhagen premier shopping district inaugurate today strengthen company presence nordic capital ."
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",neutral,18,0,financial statement quarter 2010 tikkurila report discontinued operation .
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,48,1,world second large stainless steel maker say net profit month period dec. 31 surge euro603 million us$ 781 million euro3 .33 us$ 4.31 share euro172 million euro0 .94 share previous year .
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",neutral,31,0,applicant jot automation oyname inventor mammila tuomo piirainen mika kellokoski mikaapplication no . 2424 kolnp-2008 adate filing application 16 06 2008publication date 30/01/2009
Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,positive,9,1,netflix grow effort create loyal customer $ nflx
"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",negative,30,-1,"omx nordic 40 omxn40 index comprise 40 trade nordic stocks nasdaq omx exchange close 0.87 % 1,064.14 point thursday ."
$AAPL nibbling on a small long via 525.. buying off 13min charts..,positive,12,1,$ aapl nibble small long 525 buy 13min chart
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative,25,-1,operate margin aker yards cruise ferries division go 8.3 % 6.4 % quarter 2007 .
"$TYC just about to break out to new highs, lots of technicals looking great right now.",positive,16,1,$ tyc break new high lot technical look great right .
"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 .",neutral,23,0,eero katajavuori currently group vice president human resources year long sabbatical start october 1 2010 .
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",neutral,18,0,s $ lulu number look good not great good . think conference instill confidence .
The adjustment measures will be carried out in phases to secure the delivery capability .,neutral,15,0,adjustment measure carry phase secure delivery capability .
"Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers , Tyrvaan Sanomat and Paikallissanomat , appearing in Sastamala and its neighbouring municipalities , are to be bought by Suomen Paikallissanomat Oy .",neutral,43,0,alma media corporation press release 15 march 2010 tyrvaan sanomat paikallissanomat bought suomen paikallissanomat local paper tyrvaan sanomat paikallissanomat appear sastamala neighbouring municipality buy suomen paikallissanomat oy .
"Temporary lay-offs , affecting the entire workforce , will also be implemented .",negative,13,-1,temporary lay off affect entire workforce implement .
"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo .",neutral,39,0,meeting medium analyst hold day 10:30 a.m. stonesoft headquarters helsinki italahdenkatu 22 a. interim report present stonesoft ceo ilkka hiidenheimo .
"Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .",neutral,17,0,finnish sampo rosenlew manufacture approximately seven forest machine monthly half machine export .
"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",positive,18,1,facebook near buy point week face different technical test today $ fb $ aapl $ nflx
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive,39,1,4 february 2011 finnish broadband datum communication system provider teleste oyj hel tlt1v say wednesday net profit rocket eur4 .8 m 2010 eur416 000 2009 lift dividend proposal .
$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,positive,21,1,$ free ha heeeeeere come pump glad pick 9 k end day ready bull ride
"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",positive,49,1,finnish technology group aspocomp group oyj omx helsinki acg1v issue quarter report thursday 13 november post operating profit eur0 .4 m compare loss eur0 .5 m quarter 2007 .
"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",neutral,19,0,"building complex consist high quality office retail space total 49,200 square metre company say ."
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,neutral,14,0,finnish insurance company fennia kesko group end loyal customer cooperation .
The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,neutral,20,0,unit plan operational second half 2007 stream 2008 .
"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",neutral,15,0,"itg share deal estimate 500,000 euro $ 627,000 ."
The plant is expected to enter commercial operation by mid-2009 .,neutral,11,0,plant expect enter commercial operation mid-2009 .
Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral,13,0,aspo investigate sale opportunity kaukomarkkinat electronic business .
BG Group appoints new CEO one month early,neutral,8,0,bg group appoint new ceo month early
The acquisition will have an immediate positive impact on Aspocomp 's financial result .,positive,14,1,acquisition immediate positive impact aspocomp financial result .
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",negative,32,-1,finnair passenger load factor measure number sell seat share available seat drop 1.3 percentage point 76.7 % september .
RT @bman1 $LNG looks primed also $EGHT poised to run too...,positive,11,1,rt @bman1 $ lng look prime $ eght poise run
It is also 7.7 pct above the 12-month volume weighted average price of the stock .,positive,16,1,7.7 pct 12 month volume weight average price stock .
Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,neutral,17,0,coke dividend 3 % . google dividend 0 % . passive income coke take . $ goog $ ko
"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",positive,17,1,profit taxis eur 5.4 mn eur 3.6 mn year early .
The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,neutral,27,0,subsidiary set facility manufacture high density interconnection print circuit board pcb nokia special economic zone sriperumbudur near chennai .
$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,positive,10,1,$ crm sep 40 call +35 % entry bang
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",negative,22,-1,january june 2010 diluted loss share stand eur0 .3 versus eur0 .1 half 2009 .
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,positive,23,1,rapala say estimate saving 1 2 mln eur year centralise french operation site .
$VMW  Got a nice push today following small sweepers of May C this morning,positive,14,1,$ vmw get nice push today follow small sweeper c morning
That topped consensus forecasts for earnings of 0.21 euros a share .,positive,12,1,top consensus forecast earning 0.21 euro share .
R&D Loan ) .,neutral,4,0,r&d loan .
